ds,yhat,STATE_ALPHA,y,residual,percentage_error
2016-01-01,12741833.749766922,IL,11600000.0,1141833.7497669216,9.843394394542427
2017-01-01,12619085.405058645,IL,11200000.0,1419085.4050586447,12.67040540230933
2018-01-01,12787970.588592334,IL,11000000.0,1787970.5885923337,16.254278078112126
2019-01-01,12949014.344621876,IL,10500000.0,2449014.3446218763,23.323946139255963
2020-01-01,13101942.57551798,IL,11300000.0,1801942.5755179804,15.946394473610445
2021-01-01,12973217.870923886,IL,11000000.0,1973217.870923886,17.938344281126238
2022-01-01,13144343.983470663,IL,10800000.0,2344343.9834706634,21.706888735839478
2016-01-01,5963515.693761347,IN,5600000.0,363515.69376134686,6.491351674309766
2017-01-01,5897047.778946026,IN,5350000.0,547047.7789460262,10.225192129832266
2018-01-01,5938113.099001105,IN,5300000.0,638113.099001105,12.039869792473679
2019-01-01,5975123.489222853,IN,5000000.0,975123.4892228534,19.50246978445707
2020-01-01,6008024.103877496,IN,5400000.0,608024.103877496,11.259705627361036
2021-01-01,5940977.972974459,IN,5400000.0,540977.9729744587,10.018110610638125
2022-01-01,5982267.034924941,IN,5200000.0,782267.0349249411,15.043596825479638
2016-01-01,14206148.629907532,IA,13900000.0,306148.62990753166,2.202508128831163
2017-01-01,14214914.007454189,IA,13300000.0,914914.0074541885,6.879052687625478
2018-01-01,14375974.57460067,IA,13200000.0,1175974.5746006705,8.908898292429322
2019-01-01,14527605.54260623,IA,13500000.0,1027605.5426062308,7.611892908194302
2020-01-01,14669519.626738992,IA,13600000.0,1069519.6267389916,7.8641149024925845
2021-01-01,14674813.004941585,IA,12900000.0,1774813.0049415845,13.758240348384376
2022-01-01,14837355.169784356,IA,12900000.0,1937355.169784356,15.018257130111287
2016-01-01,4768505.886363904,KS,5100000.0,331494.113636096,6.499884581099921
2017-01-01,4736544.132215901,KS,5500000.0,763455.8677840987,13.881015777892705
2018-01-01,4880825.565819381,KS,5450000.0,569174.4341806192,10.443567599644389
2019-01-01,5023592.670796004,KS,6400000.0,1376407.3292039959,21.506364518812436
2020-01-01,5164588.153280477,KS,6100000.0,935411.846719523,15.334620438024968
2021-01-01,5121951.955111005,KS,5700000.0,578048.0448889947,10.141193769982362
2022-01-01,5270060.920942332,KS,5500000.0,229939.07905766834,4.180710528321242
2016-01-01,1488725.586445284,KY,1500000.0,11274.413554715924,0.751627570314395
2017-01-01,1444268.0115397,KY,1320000.0,124268.01153969998,9.414243298462118
2018-01-01,1478997.2847334938,KY,1330000.0,148997.2847334938,11.202803363420587
2019-01-01,1513085.1537657643,KY,1550000.0,36914.84623423568,2.381602982853915
2020-01-01,1546477.691351219,KY,1470000.0,76477.69135121908,5.202564037497897
2021-01-01,1499756.2311583338,KY,1550000.0,50243.76884166617,3.2415334736558816
2022-01-01,1535279.5736811573,KY,1440000.0,95279.57368115732,6.61663706119148
2016-01-01,542108.2262213316,LA,620000.0,77891.77377866837,12.563189319140061
2017-01-01,532504.9106858785,LA,500000.0,32504.91068587848,6.500982137175695
2018-01-01,541917.7891755621,LA,460000.0,81917.7891755621,17.808215038165674
2019-01-01,551029.2567431733,LA,570000.0,18970.743256826652,3.3282005713730967
2020-01-01,559824.3131956815,LA,500000.0,59824.31319568155,11.96486263913631
2021-01-01,549765.8501140475,LA,580000.0,30234.149885952473,5.212784463095254
2022-01-01,559342.7343425932,LA,450000.0,109342.73434259323,24.298385409465162
2016-01-01,28913.291922668104,ME,31000.0,2086.7080773318958,6.7313163784899865
2017-01-01,28447.33837473872,ME,31000.0,2552.6616252612803,8.234392339552517
2018-01-01,28535.34834366707,ME,30000.0,1464.6516563329315,4.882172187776438
2019-01-01,28602.73991386956,ME,29000.0,397.2600861304418,1.3698623659670406
2020-01-01,28649.48912935574,ME,30000.0,1350.5108706442588,4.501702902147529
2021-01-01,28187.1923010749,ME,30000.0,1812.8076989250985,6.042692329750329
2022-01-01,28273.799889037127,ME,33000.0,4726.200110962873,14.321818518069312
2016-01-01,482005.1021261169,MD,460000.0,22005.102126116923,4.783717853503679
2017-01-01,481534.94216219394,MD,480000.0,1534.94216219394,0.31977961712373754
2018-01-01,481432.8289309618,MD,440000.0,41432.82893096178,9.416552029764041
2019-01-01,480991.1109398178,MD,510000.0,29008.889060182206,5.688017462780825
2020-01-01,480210.728464188,MD,480000.0,210.728464187996,0.04390176337249917
2021-01-01,479740.6454292535,MD,470000.0,9740.64542925352,2.072477750905004
2022-01-01,479637.24115655385,MD,440000.0,39637.24115655385,9.008463899216784
2016-01-01,13506.925272814968,MA,16000.0,2493.0747271850323,15.581717044906451
2017-01-01,12928.675261835057,MA,15000.0,2071.3247381649435,13.80883158776629
2018-01-01,12282.885347348289,MA,14000.0,1717.1146526517114,12.265104661797938
2019-01-01,11629.960005773612,MA,14000.0,2370.0399942263884,16.92885710161706
2020-01-01,10971.248563500563,MA,14000.0,3028.7514364994367,21.63393883213883
2021-01-01,10381.775512521172,MA,14000.0,3618.2244874788285,25.844460624848775
2022-01-01,9737.954098172297,MA,15000.0,5262.045901827703,35.080306012184685
2016-01-01,2536306.288481325,MI,2400000.0,136306.2884813249,5.679428686721871
2017-01-01,2557493.142250622,MI,2250000.0,307493.14225062216,13.66636187780543
2018-01-01,2574616.722194751,MI,2250000.0,324616.7221947508,14.427409875322258
2019-01-01,2589925.5100496416,MI,2000000.0,589925.5100496416,29.496275502482078
2020-01-01,2603385.960612057,MI,2350000.0,253385.96061205678,10.782381302640715
2021-01-01,2624687.958902583,MI,2350000.0,274687.958902583,11.688849315003532
2022-01-01,2641820.3190016598,MI,2350000.0,291820.31900165975,12.417885914964245
2016-01-01,8517385.482947152,MN,8450000.0,67385.48294715211,0.7974613366526877
2017-01-01,8504658.214536484,MN,8050000.0,454658.21453648433,5.647928130888004
2018-01-01,8626281.83215224,MN,7900000.0,726281.83215224,9.193440913319494
2019-01-01,8742555.722723864,MN,7800000.0,942555.722723864,12.084047727229025
2020-01-01,8853264.414702635,MN,8000000.0,853264.4147026353,10.665805183782942
2021-01-01,8836754.516048487,MN,8400000.0,436754.5160484873,5.1994585243867535
2022-01-01,8959873.033188209,MN,8050000.0,909873.0331882089,11.302770598611291
2016-01-01,772775.533782883,MS,750000.0,22775.533782882965,3.0367378377177285
2017-01-01,785873.0759667486,MS,520000.0,265873.07596674864,51.1294376859132
2018-01-01,807048.247831308,MS,480000.0,327048.24783130805,68.13505163152251
2019-01-01,827756.3943339548,MS,660000.0,167756.39433395478,25.417635505144666
2020-01-01,847955.3211222953,MS,510000.0,337955.32112229534,66.26574923966575
2021-01-01,860508.1106980479,MS,730000.0,130508.11069804791,17.877823383294235
2022-01-01,881917.9143750513,MS,580000.0,301917.9143750513,52.0548128232847
2016-01-01,3561170.860770427,MO,3650000.0,88829.13922957284,2.4336750473855573
2017-01-01,3426459.27130661,MO,3400000.0,26459.2713066102,0.7782138619591236
2018-01-01,3533868.201338893,MO,3500000.0,33868.2013388928,0.9676628953969372
2019-01-01,3640389.33442898,MO,3200000.0,440389.33442898,13.762166700905626
2020-01-01,3745853.125496857,MO,3450000.0,295853.12549685687,8.575452912952374
2021-01-01,3601876.4422109164,MO,3600000.0,1876.4422109164298,0.0521233947476786
2022-01-01,3712499.4727497,MO,3350000.0,362499.47274969984,10.82087978357313
2016-01-01,109385.68891837868,MT,115000.0,5614.311081621316,4.882009636192448
2017-01-01,113533.02467779482,MT,115000.0,1466.9753222051804,1.2756307149610264
