ds,yhat,STATE_ALPHA
2018-01-01,116402.0616069762,MT
2019-01-01,119172.72898070117,MT
2020-01-01,121838.88990698705,MT
2021-01-01,126099.97525638009,MT
2022-01-01,128939.87087844679,MT
2023-01-01,131672.6063377838,MT
2016-01-01,9644581.949986063,NE
2017-01-01,9774620.987035798,NE
2018-01-01,9840266.491037618,NE
2019-01-01,9898808.868352834,NE
2020-01-01,9950109.604771668,NE
2021-01-01,10081830.116218824,NE
2022-01-01,10147129.342043936,NE
2023-01-01,10205111.000606438,NE
2016-01-01,5673.483565109063,NV
2017-01-01,5696.3393993764175,NV
2018-01-01,5841.317620102602,NV
2019-01-01,5983.464673313042,NV
2020-01-01,6122.509989196782,NV
2021-01-01,6138.40989254966,NV
2022-01-01,6286.017358776513,NV
2023-01-01,6430.483996408435,NV
2016-01-01,14227.385462166087,NH
2017-01-01,14377.89427547755,NH
2018-01-01,14263.63972426631,NH
2019-01-01,14139.97565055492,NH
2020-01-01,14007.100371798051,NH
2021-01-01,14154.41200085483,NH
2022-01-01,14041.069073369381,NH
2023-01-01,13918.471160196073,NH
2016-01-01,78406.80584464615,NJ
2017-01-01,75555.99327714606,NJ
2018-01-01,74869.81486699055,NJ
2019-01-01,74112.83849397593,NJ
2020-01-01,73287.11882612009,NJ
2021-01-01,70540.41117046744,NJ
2022-01-01,69815.96877503564,NJ
2023-01-01,69024.27668345954,NJ
2016-01-01,124554.63778297824,NM
2017-01-01,122555.59854020445,NM
2018-01-01,122029.13582038712,NM
2019-01-01,121412.30096642401,NM
2020-01-01,120706.66726930029,NM
2021-01-01,118739.85476122482,NM
2022-01-01,118199.99890111953,NM
2023-01-01,117572.41744281899,NM
2016-01-01,1089459.4965955964,NY
2017-01-01,1116739.4875396506,NY
2018-01-01,1112515.2668280709,NY
2019-01-01,1107468.1154739726,NY
2020-01-01,1101601.468635923,NY
2021-01-01,1129150.8417357854,NY
2022-01-01,1124845.4376833877,NY
2023-01-01,1119708.4558453504,NY
2016-01-01,886440.0943524182,NC
2017-01-01,888846.8714948442,NC
2018-01-01,894768.4960504615,NC
2019-01-01,900073.991278103,NC
2020-01-01,904752.852740256,NC
2021-01-01,907114.808933906,NC
2022-01-01,913064.196293155,NC
2023-01-01,918384.6379004556,NC
2016-01-01,3456443.238477265,ND
2017-01-01,3433026.936954698,ND
2018-01-01,3636600.772097405,ND
2019-01-01,3842587.6723175296,ND
2020-01-01,4050622.8608741197,ND
2021-01-01,3998815.780206341,ND
2022-01-01,4212238.975022348,ND
2023-01-01,4427693.307988494,ND
2016-01-01,3630712.711390101,OH
2017-01-01,3584967.183381392,OH
2018-01-01,3615567.5399381896,OH
2019-01-01,3643746.827225129,OH
2020-01-01,3669462.2673639436,OH
2021-01-01,3623126.485557718,OH
2022-01-01,3653950.490529381,OH
2023-01-01,3682326.6089110137,OH
2016-01-01,367109.954327145,OK
2017-01-01,379805.0403732353,OK
2018-01-01,383968.08499611344,OK
2019-01-01,387795.41334535123,OK
2020-01-01,391277.0321691321,OK
2021-01-01,404402.20081924315,OK
2022-01-01,408438.92738235445,OK
2023-01-01,412122.8367291561,OK
2016-01-01,79937.90977860581,OR
2017-01-01,80846.37455800011,OR
2018-01-01,83093.17649622553,OR
2019-01-01,85298.32607581932,OR
2020-01-01,87457.5026635257,OR
2021-01-01,88276.33579645575,OR
2022-01-01,90558.22752465395,OR
2023-01-01,92793.26644186674,OR
2016-01-01,1365088.7107427341,PA
2017-01-01,1349837.063652176,PA
2018-01-01,1346575.3510433154,PA
2019-01-01,1342343.2943004975,PA
2020-01-01,1337152.12022576,PA
2021-01-01,1322070.244701231,PA
2022-01-01,1318732.5400324704,PA
2023-01-01,1314443.86980539,PA
2016-01-01,1708.2800493917935,RI
2017-01-01,1718.1900622109945,RI
2018-01-01,1659.7684449746555,RI
2019-01-01,1600.9906248760778,RI
2020-01-01,1541.9667419793925,RI
2021-01-01,1546.7301622294751,RI
2022-01-01,1489.903652764743,RI
2023-01-01,1432.8420596669598,RI
2016-01-01,332308.72100159497,SC
2017-01-01,334408.8444404686,SC
2018-01-01,335356.83711830113,SC
2019-01-01,336065.0284790927,SC
2020-01-01,336531.59028595936,SC
2021-01-01,338644.9161155635,SC
2022-01-01,339591.5159883334,SC
2023-01-01,340295.30476387247,SC
2016-01-01,5906420.055392503,SD
2017-01-01,5985832.724318757,SD
2018-01-01,6115889.284569941,SD
2019-01-01,6242238.52412936,SD
2020-01-01,6364628.237533144,SD
2021-01-01,6441348.933130187,SD
2022-01-01,6572619.438839418,SD
2023-01-01,6699866.36701032,SD
2016-01-01,881643.7504664954,TN
2017-01-01,860906.5404139061,TN
2018-01-01,885491.157355184,TN
2019-01-01,909801.06379902,TN
2020-01-01,933795.6024767136,TN
2021-01-01,911088.1037047397,TN
2022-01-01,936364.8984421578,TN
2023-01-01,961331.8342681751,TN
2016-01-01,2222930.833026172,TX
2017-01-01,2246299.818082258,TX
2018-01-01,2260150.4706018385,TX
2019-01-01,2272357.041456346,TX
2020-01-01,2282890.72558789,TX
2021-01-01,2306483.3790547964,TX
2022-01-01,2320302.4953985754,TX
2023-01-01,2332434.4798192703,TX
2016-01-01,80044.51409699823,UT
2017-01-01,79422.25206640363,UT
2018-01-01,81310.48455481317,UT
2019-01-01,83161.93660638356,UT
2020-01-01,84973.29614687785,UT
2021-01-01,84238.42617655983,UT
2022-01-01,86167.57801984862,UT
2023-01-01,88056.58128110442,UT
2016-01-01,87281.96267466045,VT
2017-01-01,87133.59156611413,VT
2018-01-01,86310.76755192949,VT
2019-01-01,85428.82256213985,VT
2020-01-01,84489.47554515558,VT
2021-01-01,84323.32744472627,VT
2022-01-01,83504.42917604523,VT
2023-01-01,82628.41225452532,VT
2016-01-01,493537.02208729525,VA
2017-01-01,486814.1216919422,VA
2018-01-01,489435.36645479244,VA
2019-01-01,491716.61977038725,VA
2020-01-01,493655.07953868416,VA
2021-01-01,486930.56400155515,VA
2022-01-01,489552.4287513152,VA
2023-01-01,491834.22066600306,VA
2016-01-01,201048.37465636473,WA
2017-01-01,201023.50532880725,WA
2018-01-01,205637.1923119777,WA
2019-01-01,210146.1310215843,WA
2020-01-01,214541.83708038338,WA
2021-01-01,214292.20758126574,WA
2022-01-01,218990.23088832566,WA
2023-01-01,223574.12004965942,WA
2016-01-01,46279.08697937984,WV
2017-01-01,43619.64994336823,WV
2018-01-01,43789.92549954527,WV
2019-01-01,43912.45458305947,WV
2020-01-01,43987.561846747674,WV
2021-01-01,41432.680028976676,WV
2022-01-01,41566.569259570344,WV
2023-01-01,41654.23245308808,WV
2016-01-01,4145128.260090015,WI
2017-01-01,4165995.5077622053,WI
2018-01-01,4203884.209260977,WI
2019-01-01,4238892.950062004,WI
2020-01-01,4270951.080563967,WI
2021-01-01,4291497.401886904,WI
2022-01-01,4329581.492795529,WI
2023-01-01,4364697.252421698,WI
2016-01-01,99628.78835956473,WY
2017-01-01,93270.02832524496,WY
2018-01-01,96216.74957465082,WY
2019-01-01,99126.00392097302,WY
2020-01-01,101993.77506102566,WY
2021-01-01,95470.98250042078,WY
2022-01-01,98473.93252522164,WY
2023-01-01,101437.88656520138,WY
